,epoch,loss,energy_mean,energy_std,GS,CI,HF,proposal_width,acceptance_rate,walltime,l2norm,l2norm_energy_grad,alpha,mu,max_update,module,module_name,pi,use_kfac,damping,adapt_damping,damping_adapt_interval,damping_adapt_decay,min_damping,max_damping,l2_reg,gamma,adapt_gamma,gamma_adapt_interval,gamma_adapt_decay,min_gamma,max_gamma,max_epsilon,epsilon,rho,step,precondition_method,quadratic_model,number_of_minres_it,effective_gradients,use_kl_clipping,norm_constraint,kl_max,log_rho,qmodel_change,loss_change
10,10,0.32078495621681213,1.208078145980835,0.02126481384038925,2.0,0.5990672369459673,0.8140145540237427,0.6564815640449524,0.492919921875,1.1268307589998585,0.0019237471278756857,1.1616582870483398,-1.0972435474395752,0.9419538378715515,0.0015900101279839873,Linear,Linear,1.0,True,463.2912301597529,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,11,VMC,VMC,50,False,False,0.01,1.0,3.9505398273468018,-0.0022252798,-0.115632534
11,11,0.36412927508354187,1.1857390403747559,0.021921619772911072,2.0,0.5990672369459673,0.8140145540237427,0.661554217338562,0.51025390625,0.6977408429993375,0.0025602274108678102,1.1986416578292847,-1.0297131538391113,0.927440345287323,0.0021343445405364037,Linear,Linear,1.0,True,463.2912301597529,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,12,VMC,VMC,50,False,False,0.01,1.0,3.9505398273468018,-0.0022252798,-0.115632534
12,12,0.31951338052749634,1.1958993673324585,0.02123303711414337,2.0,0.5990672369459673,0.8140145540237427,0.6586641073226929,0.505126953125,0.694035143002111,0.002626031171530485,1.231134057044983,-0.9737673401832581,0.9415969848632812,0.0021355722565203905,Linear,Linear,1.0,True,463.2912301597529,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,13,VMC,VMC,50,False,False,0.01,1.0,3.9505398273468018,-0.0022252798,-0.115632534
13,13,0.36209553480148315,1.1745507717132568,0.021829010918736458,2.0,0.5990672369459673,0.8140145540237427,0.6539134979248047,0.49169921875,0.7050782920014171,0.0025898232124745846,1.2125414609909058,-1.0429507493972778,0.9373477101325989,0.002178630791604519,Linear,Linear,1.0,True,463.2912301597529,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,14,VMC,VMC,50,False,False,0.01,1.0,3.9505398273468018,-0.0022252798,-0.115632534
14,14,0.36796098947525024,1.1777184009552002,0.02185176871716976,2.0,0.5990672369459673,0.8140145540237427,0.6467795968055725,0.503173828125,0.6934045759990113,0.002556716790422797,1.1980364322662354,-0.9662607908248901,0.9412222504615784,0.0021214415319263935,Linear,Linear,1.0,True,463.2912301597529,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,15,VMC,VMC,50,False,False,0.01,1.0,3.9505398273468018,-0.0022252798,-0.115632534
15,15,0.36281323432922363,1.1808781623840332,0.02178005501627922,2.0,0.5990672369459673,0.8140145540237427,0.6481086015701294,0.49560546875,1.1291866220017255,0.002503784140571952,1.1720690727233887,-1.007339358329773,0.9396311640739441,0.0021153714042156935,Linear,Linear,1.0,True,358.48592240854174,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,16,VMC,VMC,50,False,False,0.01,1.0,2.8234901428222656,-0.0029194355,-0.049150825
16,16,0.33744558691978455,1.17156183719635,0.021583547815680504,2.0,0.5990672369459673,0.8140145540237427,0.6387895345687866,0.516845703125,0.6959920829976909,0.0032293216791003942,1.1752476692199707,-0.9737107753753662,0.9456453323364258,0.0025943315122276545,Linear,Linear,1.0,True,358.48592240854174,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,17,VMC,VMC,50,False,False,0.01,1.0,2.8234901428222656,-0.0029194355,-0.049150825
17,17,0.3794003129005432,1.1255371570587158,0.022354833781719208,2.0,0.5990672369459673,0.8140145540237427,0.6572926640510559,0.5009765625,0.693541587999789,0.003474045777693391,1.263612151145935,-1.1251319646835327,0.9180251359939575,0.0028319917619228363,Linear,Linear,1.0,True,358.48592240854174,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,18,VMC,VMC,50,False,False,0.01,1.0,2.8234901428222656,-0.0029194355,-0.049150825
18,18,0.3508325219154358,1.1598412990570068,0.022059593349695206,2.0,0.5990672369459673,0.8140145540237427,0.6350206732749939,0.501953125,0.6930087330001697,0.0033031192142516375,1.2022531032562256,-0.9878677129745483,0.9364153146743774,0.0026020051445811987,Linear,Linear,1.0,True,358.48592240854174,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,19,VMC,VMC,50,False,False,0.01,1.0,2.8234901428222656,-0.0029194355,-0.049150825
19,19,0.35821887850761414,1.1841381788253784,0.020992407575249672,2.0,0.5990672369459673,0.8140145540237427,0.6379245519638062,0.498046875,0.6916222450017813,0.003056166460737586,1.1106061935424805,-1.0131324529647827,0.9361442923545837,0.002605457091704011,Linear,Linear,1.0,True,358.48592240854174,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,20,VMC,VMC,50,False,False,0.01,1.0,2.8234901428222656,-0.0029194355,-0.049150825
20,20,0.32090795040130615,1.160871148109436,0.02126333676278591,2.0,0.5990672369459673,0.8140145540237427,0.6597673892974854,0.495849609375,1.1287942189992464,0.003172195516526699,1.1544052362442017,-0.9859263896942139,0.9383257627487183,0.002537570660933852,Linear,Linear,1.0,True,277.3895731218336,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,21,VMC,VMC,50,False,False,0.01,1.0,3.050893783569336,-0.0036346912,-0.07681584
21,21,0.35497626662254333,1.155955195426941,0.021477296948432922,2.0,0.5990672369459673,0.8140145540237427,0.6551286578178406,0.51123046875,0.6978616599990346,0.0040250192396342754,1.1372627019882202,-1.0181410312652588,0.9245845675468445,0.0033215531148016453,Linear,Linear,1.0,True,277.3895731218336,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,22,VMC,VMC,50,False,False,0.01,1.0,3.050893783569336,-0.0036346912,-0.07681584
22,22,0.35420116782188416,1.1443297863006592,0.0216013602912426,2.0,0.5990672369459673,0.8140145540237427,0.6398037672042847,0.49609375,0.6966616709978553,0.0039349826984107494,1.1115046739578247,-0.9986622333526611,0.9330886602401733,0.0032068935688585043,Linear,Linear,1.0,True,277.3895731218336,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,23,VMC,VMC,50,False,False,0.01,1.0,3.050893783569336,-0.0036346912,-0.07681584
23,23,0.4168424606323242,1.1043130159378052,0.022552506998181343,2.0,0.5990672369459673,0.8140145540237427,0.6407554149627686,0.50244140625,0.7011980259994743,0.00418839231133461,1.1822633743286133,-1.1677350997924805,0.9107243418693542,0.0034661563113331795,Linear,Linear,1.0,True,277.3895731218336,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,24,VMC,VMC,50,False,False,0.01,1.0,3.050893783569336,-0.0036346912,-0.07681584
24,24,0.39080554246902466,1.145097017288208,0.021988151594996452,2.0,0.5990672369459673,0.8140145540237427,0.6554804444313049,0.51416015625,0.6938071419972403,0.003863273188471794,1.0919387340545654,-0.9172271490097046,0.9320270419120789,0.003141599241644144,Linear,Linear,1.0,True,277.3895731218336,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,25,VMC,VMC,50,False,False,0.01,1.0,3.050893783569336,-0.0036346912,-0.07681584
25,25,0.42540431022644043,1.0987398624420166,0.022811871021986008,2.0,0.5990672369459673,0.8140145540237427,0.6522238850593567,0.518310546875,1.1276602290017763,0.004155626520514488,1.1741892099380493,-0.8599421381950378,0.9523891806602478,0.003354577347636223,Linear,Linear,1.0,True,214.63876394293715,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,26,VMC,VMC,50,False,False,0.01,1.0,1.2878737449645996,-0.0048348904,-0.017526746
26,26,0.3824980854988098,1.1450215578079224,0.0215748343616724,2.0,0.5990672369459673,0.8140145540237427,0.6231299638748169,0.495361328125,0.6957006439988618,0.004791453946381807,1.0520622730255127,-1.1311670541763306,0.8968610167503357,0.003993387334048748,Linear,Linear,1.0,True,214.63876394293715,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,27,VMC,VMC,50,False,False,0.01,1.0,1.2878737449645996,-0.0048348904,-0.017526746
27,27,0.37074899673461914,1.1419806480407715,0.021459395065903664,2.0,0.5990672369459673,0.8140145540237427,0.621282160282135,0.5009765625,0.6924072399997385,0.004848640877753496,1.0665737390518188,-0.9726199507713318,0.9301833510398865,0.003957359120249748,Linear,Linear,1.0,True,214.63876394293715,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,28,VMC,VMC,50,False,False,0.01,1.0,1.2878737449645996,-0.0048348904,-0.017526746
28,28,0.36045771837234497,1.1445279121398926,0.021205822005867958,2.0,0.5990672369459673,0.8140145540237427,0.5946839451789856,0.483154296875,0.6958928480016766,0.004654408898204565,1.021807074546814,-1.006354570388794,0.9285088181495667,0.0038302280008792877,Linear,Linear,1.0,True,214.63876394293715,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,29,VMC,VMC,50,False,False,0.01,1.0,1.2878737449645996,-0.0048348904,-0.017526746
29,29,0.42278343439102173,1.1153349876403809,0.02171078883111477,2.0,0.5990672369459673,0.8140145540237427,0.6291444897651672,0.503173828125,0.6982044340002176,0.004711194895207882,1.032591462135315,-1.0709861516952515,0.9224713444709778,0.004035790916532278,Linear,Linear,1.0,True,214.63876394293715,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,30,VMC,VMC,50,False,False,0.01,1.0,1.2878737449645996,-0.0048348904,-0.017526746
30,30,0.40783339738845825,1.118906855583191,0.021814296022057533,2.0,0.5990672369459673,0.8140145540237427,0.6064351201057434,0.48193359375,1.1532900589991186,0.004691103007644415,1.0301083326339722,-0.9149816036224365,0.9351630806922913,0.0038947039283812046,Linear,Linear,1.0,True,166.08338398760705,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,31,VMC,VMC,50,False,False,0.01,1.0,2.9740166664123535,-0.004777789,-0.09350276
31,31,0.41447070240974426,1.10945725440979,0.021434035152196884,2.0,0.5990672369459673,0.8140145540237427,0.6484381556510925,0.512939453125,0.694308911999542,0.005954280029982328,1.019063115119934,-0.9658232927322388,0.9319673776626587,0.004968299064785242,Linear,Linear,1.0,True,166.08338398760705,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,32,VMC,VMC,50,False,False,0.01,1.0,2.9740166664123535,-0.004777789,-0.09350276
32,32,0.42098918557167053,1.0978715419769287,0.0217977836728096,2.0,0.5990672369459673,0.8140145540237427,0.6296223402023315,0.484619140625,0.7000400769975386,0.006058270111680031,1.0350761413574219,-1.0101869106292725,0.9221143126487732,0.005042527802288532,Linear,Linear,1.0,True,166.08338398760705,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,33,VMC,VMC,50,False,False,0.01,1.0,2.9740166664123535,-0.004777789,-0.09350276
33,33,0.4074019193649292,1.1093816757202148,0.02148706279695034,2.0,0.5990672369459673,0.8140145540237427,0.6265389919281006,0.505859375,0.69269260800138,0.005819945130497217,0.9960675835609436,-0.9635655879974365,0.923833429813385,0.004832898732274771,Linear,Linear,1.0,True,166.08338398760705,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,34,VMC,VMC,50,False,False,0.01,1.0,2.9740166664123535,-0.004777789,-0.09350276
34,34,0.40160074830055237,1.0921835899353027,0.021405914798378944,2.0,0.5990672369459673,0.8140145540237427,0.6377614140510559,0.495361328125,0.6943336959993758,0.005767118185758591,0.9864670634269714,-1.004022479057312,0.9219876527786255,0.0047186692245304585,Linear,Linear,1.0,True,166.08338398760705,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,35,VMC,VMC,50,False,False,0.01,1.0,2.9740166664123535,-0.004777789,-0.09350276
35,35,0.41600215435028076,1.0708625316619873,0.021802706643939018,2.0,0.5990672369459673,0.8140145540237427,0.6239473223686218,0.506103515625,1.1265133509987209,0.006015576422214508,1.0303630828857422,-0.9628011584281921,0.9263589382171631,0.004863274283707142,Linear,Linear,1.0,True,128.51215656510303,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,36,VMC,VMC,50,False,False,0.01,1.0,1.7115111351013184,-0.0061038733,-0.03379917
36,36,0.4331788718700409,1.068352222442627,0.02173018828034401,2.0,0.5990672369459673,0.8140145540237427,0.6344961524009705,0.50537109375,0.6951327630013111,0.007456993218511343,0.9973542094230652,-1.0447003841400146,0.8938848376274109,0.006068057380616665,Linear,Linear,1.0,True,128.51215656510303,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,37,VMC,VMC,50,False,False,0.01,1.0,1.7115111351013184,-0.0061038733,-0.03379917
37,37,0.4537988305091858,1.0564427375793457,0.02205025963485241,2.0,0.5990672369459673,0.8140145540237427,0.6112534999847412,0.494873046875,0.6946717149985489,0.007219234481453896,0.9647825360298157,-1.0006473064422607,0.9139614701271057,0.005823230836540461,Linear,Linear,1.0,True,128.51215656510303,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,38,VMC,VMC,50,False,False,0.01,1.0,1.7115111351013184,-0.0061038733,-0.03379917
38,38,0.43391209840774536,1.0709939002990723,0.021333156153559685,2.0,0.5990672369459673,0.8140145540237427,0.6181699633598328,0.505126953125,0.7003889169973263,0.007095438428223133,0.9459075927734375,-1.0250682830810547,0.9121059775352478,0.0058913445100188255,Linear,Linear,1.0,True,128.51215656510303,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,39,VMC,VMC,50,False,False,0.01,1.0,1.7115111351013184,-0.0061038733,-0.03379917
39,39,0.45031997561454773,1.0522806644439697,0.021227408200502396,2.0,0.5990672369459673,0.8140145540237427,0.6031593084335327,0.494873046875,0.690335569997842,0.007116612978279591,0.9519252777099609,-0.9696072340011597,0.9180756211280823,0.00582497613504529,Linear,Linear,1.0,True,128.51215656510303,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,40,VMC,VMC,50,False,False,0.01,1.0,1.7115111351013184,-0.0061038733,-0.03379917
40,40,0.4880017936229706,0.9980559349060059,0.022372694686055183,2.0,0.5990672369459673,0.8140145540237427,0.6184273362159729,0.504150390625,1.1355748009991657,0.007648325525224209,1.0209832191467285,-1.000116229057312,0.9146663546562195,0.006187306251376867,Linear,Linear,1.0,True,99.44025698709217,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,41,VMC,VMC,50,False,False,0.01,1.0,2.1666364669799805,-0.0076628923,-0.066888034
41,41,0.4600973427295685,1.0178114175796509,0.021932875737547874,2.0,0.5990672369459673,0.8140145540237427,0.6314191818237305,0.50439453125,0.6961121109998203,0.009254194796085358,0.9710454344749451,-0.8325208425521851,0.9510663747787476,0.007267021108418703,Linear,Linear,1.0,True,99.44025698709217,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,42,VMC,VMC,50,False,False,0.01,1.0,2.1666364669799805,-0.0076628923,-0.066888034
42,42,0.5071865320205688,0.9812430143356323,0.022761888802051544,2.0,0.5990672369459673,0.8140145540237427,0.6136283874511719,0.4921875,0.6947235830011778,0.009544131346046925,0.997384786605835,-1.1199160814285278,0.8854118585586548,0.007546361070126295,Linear,Linear,1.0,True,99.44025698709217,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,43,VMC,VMC,50,False,False,0.01,1.0,2.1666364669799805,-0.0076628923,-0.066888034
43,43,0.4891068637371063,1.022573471069336,0.02189553715288639,2.0,0.5990672369459673,0.8140145540237427,0.6275900602340698,0.5068359375,0.6962415950001741,0.008743707090616226,0.9119181632995605,-1.0644601583480835,0.9027224779129028,0.00709925452247262,Linear,Linear,1.0,True,99.44025698709217,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,44,VMC,VMC,50,False,False,0.01,1.0,2.1666364669799805,-0.0076628923,-0.066888034
44,44,0.4966290295124054,1.0144274234771729,0.021962886676192284,2.0,0.5990672369459673,0.8140145540237427,0.5964008569717407,0.494140625,0.6996234920006827,0.00887715257704258,0.926661491394043,-0.9625681042671204,0.908865749835968,0.007120138965547085,Linear,Linear,1.0,True,99.44025698709217,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,45,VMC,VMC,50,False,False,0.01,1.0,2.1666364669799805,-0.0076628923,-0.066888034
45,45,0.4837096035480499,0.9960587024688721,0.02159818448126316,2.0,0.5990672369459673,0.8140145540237427,0.6162066459655762,0.511962890625,1.129097749999346,0.008475286886096,0.8937108516693115,-0.9402903318405151,0.9078997373580933,0.006486454512923956,Linear,Linear,1.0,True,76.94497527671308,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,46,VMC,VMC,50,False,False,0.01,1.0,0.0012273788452148438,-0.007354617,-0.007363677
46,46,0.5165762901306152,0.982934296131134,0.021947789937257767,2.0,0.5990672369459673,0.8140145540237427,0.595184326171875,0.48974609375,0.6962208389995794,0.01069606188684702,0.8761498928070068,-1.0056495666503906,0.8808783292770386,0.008405039086937904,Linear,Linear,1.0,True,76.94497527671308,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,47,VMC,VMC,50,False,False,0.01,1.0,0.0012273788452148438,-0.007354617,-0.007363677
47,47,0.5067775845527649,1.000787377357483,0.02143615297973156,2.0,0.5990672369459673,0.8140145540237427,0.6087371110916138,0.496337890625,0.6993235850022756,0.009972414001822472,0.8221877813339233,-0.8640996217727661,0.8926948308944702,0.0077608488500118256,Linear,Linear,1.0,True,76.94497527671308,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,48,VMC,VMC,50,False,False,0.01,1.0,0.0012273788452148438,-0.007354617,-0.007363677
48,48,0.4829261898994446,1.0441592931747437,0.021006308495998383,2.0,0.5990672369459673,0.8140145540237427,0.5824021100997925,0.49072265625,0.7003970369987655,0.00958564318716526,0.7833730578422546,-1.0585412979125977,0.8863566517829895,0.007395597640424967,Linear,Linear,1.0,True,76.94497527671308,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,49,VMC,VMC,50,False,False,0.01,1.0,0.0012273788452148438,-0.007354617,-0.007363677
49,49,0.5210317969322205,0.9566189646720886,0.022137189283967018,2.0,0.5990672369459673,0.8140145540237427,0.6055566668510437,0.50634765625,0.6957547290003276,0.010796700604259968,0.8878306746482849,-0.9426336884498596,0.9017566442489624,0.007968937046825886,Linear,Linear,1.0,True,76.94497527671308,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,50,VMC,VMC,50,False,False,0.01,1.0,0.0012273788452148438,-0.007354617,-0.007363677
50,50,0.5441404581069946,0.9390723705291748,0.02209286391735077,2.0,0.5990672369459673,0.8140145540237427,0.6109444499015808,0.51416015625,1.1424243159999605,0.010554337874054909,0.878967821598053,-0.915002703666687,0.8914846181869507,0.007464957423508167,Linear,Linear,1.0,True,59.538555105529355,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,51,VMC,VMC,50,False,False,0.01,1.0,0.9998023509979248,-0.008916616,-0.024233103
51,51,0.5159251093864441,0.9373898506164551,0.022051548585295677,2.0,0.5990672369459673,0.8140145540237427,0.5925808548927307,0.5048828125,0.7095084520005912,0.013580473139882088,0.8874214291572571,-1.025882363319397,0.8363052606582642,0.009272957220673561,Linear,Linear,1.0,True,59.538555105529355,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,52,VMC,VMC,50,False,False,0.01,1.0,0.9998023509979248,-0.008916616,-0.024233103
